"","ID","Sample","Dataset_description","Chip_ID","Series","Chip_description","PMID","Cell_description","Cell_type","Class"
"12","Hs.72.Embryonic_stem_cells.BGO1.Nanog_tg.","Embryonic_stem_cells:bg01.2","Human embryonic stem cells","GSM530605","GSE21222","BGO1.Nanog transgenic hESC line","20442331","Embryonic_stem_cells","ESM","ESM"
"13","Hs.72.Embryonic_stem_cells.BGO1.r2","Embryonic_stem_cells:bg01.3","Human embryonic stem cells","GSM530607","GSE21222","BGO1 hESC (mTESR)","20442331","Embryonic_stem_cells","ESM","ESM"
"14","Hs.72.Embryonic_stem_cells.WIBR3.5._pO2.","Embryonic_stem_cells:wibr.1","Human embryonic stem cells","GSM530601","GSE21222","WIBR3 hESC (5%pO2)","20442331","Embryonic_stem_cells","ESM","ESM"
"15","Hs.72.Embryonic_stem_cells.WIBR2.","Embryonic_stem_cells:wibr.2","Human embryonic stem cells","GSM530603","GSE21222","WIBR2 hESC","20442331","Embryonic_stem_cells","ESM","ESM"
"16","Hs.72.Embryonic_stem_cells.WIBR3.r1","Embryonic_stem_cells:wibr.3","Human embryonic stem cells","GSM530604","GSE21222","WIBR3","20442331","Embryonic_stem_cells","ESM","ESM"
"17","Hs.72.Embryonic_stem_cells.WIBR3.r2","Embryonic_stem_cells:wibr.4","Human embryonic stem cells","GSM530611","GSE21222","WIBR3 hESC","20442331","Embryonic_stem_cells","ESM","ESM"
"18","Hs.72.Embryonic_stem_cells.WIBR1.","Embryonic_stem_cells:wibr.5","Human embryonic stem cells","GSM530606","GSE21222","WIBR1 hESC","20442331","Embryonic_stem_cells","ESM","ESM"
"19","Hs.64.Neuroepithelial_cell.Embryonic_stem_cell.derived.d17.","Es_cell.derived_neuroepithelial_cell:d17.1","Human embryonic stem cells were differentated in vitro to neuroepithelial cells (day.17), or astrocytes (day.210) after specification with the morphogens retinoic acid (RA) or FGF8 from days 10.21","GSM469409","GSE18959","d17","n/a","Neuroepithelial_cells","ESM","ESM"
"20","Hs.64.Astrocyte.Embryonic_stem_cell.derived.d210_RA.specified.","Es_cell.derived:astrocyte:d210_ra.specified.1","Human embryonic stem cells were differentated in vitro to neuroepithelial cells (day.17), or astrocytes (day.210) after specification with the morphogens retinoic acid (RA) or FGF8 from days 10.21","GSM469411","GSE18959","d210_RA.specificed","n/a","Astrocytes","ESM","ESM"
"21","Hs.64.Astrocyte.Embryonic_stem_cell.derived.d210_FGF8.specified.","Es_cell.derived:astrocyte:d210_fgf8.specified.1","Human embryonic stem cells were differentated in vitro to neuroepithelial cells (day.17), or astrocytes (day.210) after specification with the morphogens retinoic acid (RA) or FGF8 from days 10.21","GSM469412","GSE18959","d210_FGF8.specified","n/a","Astrocytes","ESM","ESM"
"22","Hs.100.Neurones.VUB01_ES_cell.derived_neural_precursor.r1","Es_cell.derived_neural_precursor:vub01.3.1","human embryonic stem.cell.derived neural precursors cells (NPC)","GSM172865","GSE7178","NPC_VUB01_1","n/a","Neurones","ESM","ESM"
"23","Hs.100.Neurones.VUB01_ES_cell.derived_neural_precursor.r2","Es_cell.derived_neural_precursor:vub01.3.2","human embryonic stem.cell.derived neural precursors cells (NPC)","GSM172866","GSE7178","NPC_VUB01_2","n/a","Neurones","ESM","ESM"
"24","Hs.100.Neurones.VUB01_ES_cell.derived_neural_precursor.r3","Es_cell.derived_neural_precursor:vub01.3.3","human embryonic stem.cell.derived neural precursors cells (NPC)","GSM172867","GSE7178","NPC_VUB01_3","n/a","Neurones","ESM","ESM"
"25","Hs.100.Neurones.SA01_ES_cell.derived_neural_precursor.r1","Es_cell.derived_neural_precursor:sa01.3.1","human embryonic stem.cell.derived neural precursors cells (NPC)","GSM172868","GSE7178","NPC_SA01_1","n/a","Neurones","ESM","ESM"
"26","Hs.100.Neurones.SA01_ES_cell.derived_neural_precursor.r2","Es_cell.derived_neural_precursor:sa01.3.2","human embryonic stem.cell.derived neural precursors cells (NPC)","GSM172869","GSE7178","NPC_SA01_2","n/a","Neurones","ESM","ESM"
"27","Hs.100.Neurones.SA01_ES_cell.derived_neural_precursor.r3","Es_cell.derived_neural_precursor:sa01.3.3","human embryonic stem.cell.derived neural precursors cells (NPC)","GSM172870","GSE7178","NPC_SA01_3","n/a","Neurones","ESM","ESM"
"28","Hs.34.iPS_cells.skin_fibroblast.r1","Ips_cells:skin_fibroblast.1","Induced pluripotent stem cells from fibroblasts of a spinal muscular atrophy patient","GSM347919","GSE13828","SMA fibroblasts 3813","19098894","iPS_cells","lps_cells","lps_cells"
"29","Hs.34.iPS_cells.skin_fibroblast.r2","Ips_cells:skin_fibroblast.2","Induced pluripotent stem cells from fibroblasts of a spinal muscular atrophy patient","GSM347920","GSE13828","SMA fibroblasts 3814","19098894","iPS_cells","lps_cells","lps_cells"
"30","Hs.34.iPS_cells.iPS_skin_fibroblast.derived.SMA_3.5.r1","Ips_cells:skin_fibroblast.derived:sma.1","Induced pluripotent stem cells from fibroblasts of a spinal muscular atrophy patient","GSM347916","GSE13828","iPS SMA 3.5","19098894","iPS_cells","lps_cells","lps_cells"
"31","Hs.34.iPS_cells.iPS_skin_fibroblast.derived.SMA_3.6.r2","Ips_cells:skin_fibroblast.derived:sma.2","Induced pluripotent stem cells from fibroblasts of a spinal muscular atrophy patient","GSM347917","GSE13828","iPS SMA 3.6","19098894","iPS_cells","lps_cells","lps_cells"
"32","Hs.34.iPS_cells.iPS_skin_fibroblast.derived.SMA_4.2.r3","Ips_cells:skin_fibroblast.derived:sma.3","Induced pluripotent stem cells from fibroblasts of a spinal muscular atrophy patient","GSM347918","GSE13828","iPS SMA 4.2","19098894","iPS_cells","lps_cells","lps_cells"
"33","Hs.40.iPS_cells.PDB_fibroblasts.","Ips_cells:pdb_fibroblasts.1","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM366942","GSE14711","PDB fibroblasts","19269371","iPS_cells","lps_cells","lps_cells"
"34","Hs.40.iPS_cells.iPS_PDB_1lox.17Puro.5.","Ips_cells:pdb_1lox.1","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367219","GSE14711","iPS PDB 1lox.17Puro.5","19269371","iPS_cells","lps_cells","lps_cells"
"35","Hs.40.iPS_cells.iPS_PDB_1lox.17Puro.10.","Ips_cells:pdb_1lox.2","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367240","GSE14711","iPS PDB 1lox.17Puro.10","19269371","iPS_cells","lps_cells","lps_cells"
"36","Hs.40.iPS_cells.iPS_PDB_1lox.21Puro.20.","Ips_cells:pdb_1lox.3","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367241","GSE14711","iPS PDB 1lox.21Puro.20","19269371","iPS_cells","lps_cells","lps_cells"
"37","Hs.40.iPS_cells.iPS_PDB_1lox.21Puro.26.","Ips_cells:pdb_1lox.4","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367242","GSE14711","iPS PDB 1lox.21Puro.26","19269371","iPS_cells","lps_cells","lps_cells"
"38","Hs.40.iPS_cells.iPS_PDB_2lox.5.","Ips_cells:pdb_2lox.1","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367243","GSE14711","iPS PDB 2lox.5","19269371","iPS_cells","lps_cells","lps_cells"
"39","Hs.40.iPS_cells.iPS_PDB_2lox.22.","Ips_cells:pdb_2lox.2","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367244","GSE14711","iPS PDB 2lox.22","19269371","iPS_cells","lps_cells","lps_cells"
"40","Hs.40.iPS_cells.iPS_PDB_2lox.21.","Ips_cells:pdb_2lox.3","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367245","GSE14711","iPS PDB 2lox.21","19269371","iPS_cells","lps_cells","lps_cells"
"41","Hs.40.iPS_cells.iPS_PDB_2lox.17.","Ips_cells:pdb_2lox.4","Parkinson s disease patient.derived induced pluripotent stem cells free of viral reprogramming factors","GSM367258","GSE14711","iPS PDB 2lox.17","19269371","iPS_cells","lps_cells","lps_cells"
"42","Hs.41.iPS_cells.CRL2097_foreskin.r1","Ips_cells:crl2097_foreskin.1","human foreskin fibroblasts, ATCC cell line CRL2097","GSM372142","GSE14897","fibroblasts_1","n/a","iPS_cells","lps_cells","lps_cells"
"43","Hs.41.iPS_cells.CRL2097_foreskin.r2","Ips_cells:crl2097_foreskin.2","human foreskin fibroblasts, ATCC cell line CRL2097","GSM372144","GSE14897","fibroblasts_2","n/a","iPS_cells","lps_cells","lps_cells"
"44","Hs.41.iPS_cells.CRL2097_foreskin.r3","Ips_cells:crl2097_foreskin.3","human foreskin fibroblasts, ATCC cell line CRL2097","GSM372146","GSE14897","fibroblasts_3","n/a","iPS_cells","lps_cells","lps_cells"
"45","Hs.41.iPS_cells.iPS_CRL2097_foreskin.derived.undiff..r1","Ips_cells:crl2097_foreskin.derived:undiff..1","induced pluripotent stem (iPS) cells derived from CRL2097","GSM372157","GSE14897","iPS_undifferentiated_1","n/a","iPS_cells","lps_cells","lps_cells"
"46","Hs.41.iPS_cells.iPS_CRL2097_foreskin.derived.undiff..r2","Ips_cells:crl2097_foreskin.derived:undiff..2","induced pluripotent stem (iPS) cells derived from CRL2097","GSM372158","GSE14897","iPS_undifferentiated_2","n/a","iPS_cells","lps_cells","lps_cells"
"47","Hs.41.iPS_cells.iPS_CRL2097_foreskin.derived.undiff..r3","Ips_cells:crl2097_foreskin.derived:undiff..3","induced pluripotent stem (iPS) cells derived from CRL2097","GSM372159","GSE14897","iPS_undifferentiated_3","n/a","iPS_cells","lps_cells","lps_cells"
"48","Hs.41.iPS_cells.iPS_CRL2097_foreskin.derived.d20_hepatic_diff..r1","Ips_cells:crl2097_foreskin.derived:d20_hepatic_diff..1","induced pluripotent stem (iPS) cells derived from CRL2097, harvested at day 20 (d20) of a hepatic differentiation protocol","GSM372154","GSE14897","iPS_d20_hepatic differentiated_1","n/a","iPS_cells","lps_cells","lps_cells"
"49","Hs.41.iPS_cells.iPS_CRL2097_foreskin.derived.d20_hepatic_diff..r2","Ips_cells:crl2097_foreskin.derived:d20_hepatic_diff..2","induced pluripotent stem (iPS) cells derived from CRL2097, harvested at day 20 (d20) of a hepatic differentiation protocol","GSM372155","GSE14897","iPS_d20_hepatic differentiated_2","n/a","iPS_cells","lps_cells","lps_cells"
"50","Hs.41.iPS_cells.iPS_CRL2097_foreskin.derived.d20_hepatic_diff..r3","Ips_cells:crl2097_foreskin.derived:d20_hepatic_diff..3","induced pluripotent stem (iPS) cells derived from CRL2097, harvested at day 20 (d20) of a hepatic differentiation protocol","GSM372156","GSE14897","iPS_d20_hepatic differentiated_3","n/a","iPS_cells","lps_cells","lps_cells"
"51","Hs.48.iPS_cells.fibroblasts.","Ips_cells:fibroblast.derived.1","generation of stable human iPS cells from human fibroblasts","GSM402707","GSE16093","Human newborn fibroblast","19481515","iPS_cells","lps_cells","lps_cells"
"52","Hs.48.iPS_cells.iPS_fibroblast.derived.Direct_del._reprog._prot..r1","Ips_cells:fibroblast.derived.2","generation of stable human iPS cells from human fibroblasts","GSM402717","GSE16093","Human Induced Pluripotent Stem Cells by Direct Delivery of Reprogramming Proteins (Line 1)","19481515","iPS_cells","lps_cells","lps_cells"
"53","Hs.48.iPS_cells.iPS_fibroblast.derived.Direct_del._reprog._prot..r2","Ips_cells:fibroblast.derived.3","generation of stable human iPS cells from human fibroblasts","GSM402752","GSE16093","Human Induced Pluripotent Stem Cells by Direct Delivery of Reprogramming Proteins (Line 2)","19481515","iPS_cells","lps_cells","lps_cells"
"54","Hs.48.iPS_cells.iPS_fibroblast.derived.Retroviral_transf._reprog._genes.","Ips_cells:fibroblast.derived.4","generation of stable human iPS cells from human fibroblasts","GSM402806","GSE16093","Human Induced Pluripotent Stem Cells by retroviral transfection of Reprogramming genes","19481515","iPS_cells","lps_cells","lps_cells"
"55","Hs.70.iPS_cells.foreskin_fibrobasts.","Ips_cells:fibroblast.derived.5","Minicircle.derived iPS cells","GSM500995","GSE20033","Foreskin_GSM378832","20139967","iPS_cells","lps_cells","lps_cells"
"56","Hs.70.iPS_cells.iPS.minicircle.derived.r1","Ips_cells:minicircle.derived.1","Minicircle.derived iPS cells","GSM500996","GSE20033","JT.iPSC_GSM378833","20139967","iPS_cells","lps_cells","lps_cells"
"57","Hs.70.iPS_cells.iPS.minicircle.derived.r2","Ips_cells:minicircle.derived.2","Minicircle.derived iPS cells","GSM500997","GSE20033","JT.iPSC_GSM378834","20139967","iPS_cells","lps_cells","lps_cells"
"58","Hs.70.iPS_cells.iPS.minicircle.derived.r3","Ips_cells:minicircle.derived.3","Minicircle.derived iPS cells","GSM500998","GSE20033","JT.iPSC_GSM378836","20139967","iPS_cells","lps_cells","lps_cells"
"59","Hs.70.iPS_cells.iPS.minicircle.derived.r4","Ips_cells:minicircle.derived.4","Minicircle.derived iPS cells","GSM500999","GSE20033","JT.iPSC_GSM378837","20139967","iPS_cells","lps_cells","lps_cells"
"60","Hs.70.iPS_cells.iPS.minicircle.derived.r5","Ips_cells:minicircle.derived.5","Minicircle.derived iPS cells","GSM501000","GSE20033","JT.iPSC_GSM378838","20139967","iPS_cells","lps_cells","lps_cells"
"61","Hs.70.iPS_cells.adipose_stem_cells.r1","Ips_cells:adipose_stem_cells.1","Minicircle.derived iPS cells","GSM501001","GSE20033","human adipose stem cell replicate 1","20139967","iPS_cells","lps_cells","lps_cells"
"62","Hs.70.iPS_cells.adipose_stem_cells.r2","Ips_cells:adipose_stem_cells.2","Minicircle.derived iPS cells","GSM501002","GSE20033","human adipose stem cell replicate 2","20139967","iPS_cells","lps_cells","lps_cells"
"63","Hs.70.iPS_cells.adipose_stem_cells.r3","Ips_cells:adipose_stem_cells.3","Minicircle.derived iPS cells","GSM501003","GSE20033","human adipose stem cell replicate 3","20139967","iPS_cells","lps_cells","lps_cells"
"64","Hs.70.iPS_cells.iPS_adipose_stem_cell.derived.lentiviral_factors.r1","Ips_cells:adipose_stem_cell.derived:lentiviral_factors.1","Minicircle.derived iPS cells","GSM501004","GSE20033","hASC.derived iPS cells using lentiviral factors replicate 1","20139967","iPS_cells","lps_cells","lps_cells"
"65","Hs.70.iPS_cells.iPS_adipose_stem_cell.derived.lentiviral_factors.r2","Ips_cells:adipose_stem_cell.derived:lentiviral_factors.2","Minicircle.derived iPS cells","GSM501005","GSE20033","hASC.derived iPS cells using lentiviral factors replicate 2","20139967","iPS_cells","lps_cells","lps_cells"
"66","Hs.70.iPS_cells.iPS_adipose_stem_cell.derived.lentiviral_factors.r3","Ips_cells:adipose_stem_cell.derived:lentiviral_factors.3","Minicircle.derived iPS cells","GSM501006","GSE20033","hASC.derived iPS cells using lentiviral factors replicate 3","20139967","iPS_cells","lps_cells","lps_cells"
"67","Hs.70.iPS_cells.iPS_adipose_stem_cell.derived.minicircle.derived.r1","Ips_cells:adipose_stem_cell.derived:minicircle.derived.1","Minicircle.derived iPS cells","GSM501007","GSE20033","minicircle.derived iPSC subclone 1","20139967","iPS_cells","lps_cells","lps_cells"
"68","Hs.70.iPS_cells.iPS_adipose_stem_cell.derived.minicircle.derived.r2","Ips_cells:adipose_stem_cell.derived:minicircle.derived.2","Minicircle.derived iPS cells","GSM501008","GSE20033","minicircle.derived iPSC subclone 2","20139967","iPS_cells","lps_cells","lps_cells"
"69","Hs.70.iPS_cells.iPS_adipose_stem_cell.derived.minicircle.derived.r3","Ips_cells:adipose_stem_cell.derived:minicircle.derived.3","Minicircle.derived iPS cells","GSM501009","GSE20033","minicircle.derived iPSC subclone 3","20139967","iPS_cells","lps_cells","lps_cells"
"70","Hs.111.Tissue_stem_cells.iliac_MSC.r1","Tissue_stem_cells:iliac_msc.1","Native Mesenchymal Stem Cells","GSM239260","GSE9451","r1","19228201","Adipocytes","TSC","TSC"
"71","Hs.111.Tissue_stem_cells.iliac_MSC.r2","Tissue_stem_cells:iliac_msc.2","Native Mesenchymal Stem Cells","GSM239379","GSE9451","r2","19228201","Adipocytes","TSC","TSC"
"72","Hs.111.Tissue_stem_cells.iliac_MSC.r3","Tissue_stem_cells:iliac_msc.3","Native Mesenchymal Stem Cells","GSM239457","GSE9451","r3","19228201","Adipocytes","TSC","TSC"
"73","Hs.30.Tissue_stem_cells.lipoma.derived_MSC_LM6.r1","Tissue_stem_cells:lipoma.derived_msc_lm6.1","Human mesenchymal stem cells (MSCs) have been isolated from adult adipose tissues","GSM322374","GSE12843","LM6, biological rep1","doi:n/a10.2174/1876893800901010001.","Tissue_stem_cells","TSC","TSC"
"74","Hs.30.Tissue_stem_cells.lipoma.derived_MSC_LM6.r2","Tissue_stem_cells:lipoma.derived_msc_lm6.2","Human mesenchymal stem cells (MSCs) have been isolated from adult adipose tissues","GSM322375","GSE12843","LM6, biological rep2","doi:n/a10.2174/1876893800901010001.","Tissue_stem_cells","TSC","TSC"
"75","Hs.30.Tissue_stem_cells.adipose.derived_MSC_AM3.r1","Tissue_stem_cells:adipose.derived_msc_am3.1","Human mesenchymal stem cells (MSCs) have been isolated from adult adipose tissues","GSM322376","GSE12843","AM3, biological rep1","doi:n/a10.2174/1876893800901010001.","Tissue_stem_cells","TSC","TSC"
"76","Hs.30.Tissue_stem_cells.adipose.derived_MSC_AM3.r2","Tissue_stem_cells:adipose.derived_msc_am3.2","Human mesenchymal stem cells (MSCs) have been isolated from adult adipose tissues","GSM322377","GSE12843","AM3, biological rep2","doi:n/a10.2174/1876893800901010001.","Tissue_stem_cells","TSC","TSC"
"77","Hs.58.Tissue_stem_cells.BM_MSC.cntrl.r1","Tissue_stem_cells:bm_msc:cntrl.1","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM250019","GSE18043","BM.MSC culture rep 1","19843692","Tissue_stem_cells","TSC","TSC"
"78","Hs.58.Tissue_stem_cells.BM_MSC.cntrl.r2","Tissue_stem_cells:bm_msc:cntrl.2","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM250020","GSE18043","BM.MSC culture rep 2","19843692","Tissue_stem_cells","TSC","TSC"
"79","Hs.58.Tissue_stem_cells.BM_MSC.cntrl.r3","Tissue_stem_cells:bm_msc:cntrl.3","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM250021","GSE18043","BM.MSC culture rep 3","19843692","Tissue_stem_cells","TSC","TSC"
"80","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_1d.r1","Tissue_stem_cells:bm_msc:osteogenic_induction_1d.1","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451153","GSE18043","BM.MSC culture osteogenic induction for 1 day rep 1","19843692","Tissue_stem_cells","TSC","TSC"
"81","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_1d.r2","Tissue_stem_cells:bm_msc:osteogenic_induction_1d.2","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451154","GSE18043","BM.MSC culture osteogenic induction for 1 day rep 2","19843692","Tissue_stem_cells","TSC","TSC"
"82","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_1d.r3","Tissue_stem_cells:bm_msc:osteogenic_induction_1d.3","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451155","GSE18043","BM.MSC culture osteogenic induction for 1 day rep 3","19843692","Tissue_stem_cells","TSC","TSC"
"83","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_3d.r1","Tissue_stem_cells:bm_msc:osteogenic_induction_3d.1","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451156","GSE18043","BM.MSC culture osteogenic induction for 3 days rep 1","19843692","Tissue_stem_cells","TSC","TSC"
"84","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_3d.r2","Tissue_stem_cells:bm_msc:osteogenic_induction_3d.2","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451157","GSE18043","BM.MSC culture osteogenic induction for 3 days rep 2","19843692","Tissue_stem_cells","TSC","TSC"
"85","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_3d.r3","Tissue_stem_cells:bm_msc:osteogenic_induction_3d.3","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451158","GSE18043","BM.MSC culture osteogenic induction for 3 days rep 3","19843692","Tissue_stem_cells","TSC","TSC"
"86","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_7d.r2","Tissue_stem_cells:bm_msc:osteogenic_induction_7d.1","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451160","GSE18043","BM.MSC culture osteogenic induction for 7 days rep 2","19843692","Tissue_stem_cells","TSC","TSC"
"87","Hs.58.Tissue_stem_cells.BM_MSC.osteogenic_induction_7d.r3","Tissue_stem_cells:bm_msc:osteogenic_induction_7d.2","human mesenchymal stromal cell osteoblast differentiation and osteogenesis","GSM451161","GSE18043","BM.MSC culture osteogenic induction for 7 days rep 3","19843692","Tissue_stem_cells","TSC","TSC"
"88","Hs.6.Tissue_stem_cells.BM_MSC.cntrl.r1","Tissue_stem_cells:bm_msc:cntrl.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260657","GSE10315","human BM MSC unstimulated rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"89","Hs.6.Tissue_stem_cells.BM_MSC.cntrl.r2","Tissue_stem_cells:bm_msc:cntrl.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260658","GSE10315","human BM MSC unstimulated rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"90","Hs.6.Tissue_stem_cells.BM_MSC.cntrl.r3","Tissue_stem_cells:bm_msc:cntrl.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260659","GSE10315","human BM MSC unstimulated rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"91","Hs.6.Tissue_stem_cells.BM_MSC.cntrl.r5","Tissue_stem_cells:bm_msc:cntrl.4","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260661","GSE10315","human BM MSC unstimulated rep 5","n/a","Tissue_stem_cells","TSC","TSC"
"92","Hs.6.Tissue_stem_cells.BM_MSC.cntrl.r6","Tissue_stem_cells:bm_msc:cntrl.5","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260662","GSE10315","human BM MSC unstimulated rep 6","n/a","Tissue_stem_cells","TSC","TSC"
"93","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_1d.r1","Tissue_stem_cells:bm_msc:bmp2_1d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260663","GSE10315","human BM MSC BMP2 stimulated day 1 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"94","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_1d.r2","Tissue_stem_cells:bm_msc:bmp2_1d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260664","GSE10315","human BM MSC BMP2 stimulated day 1 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"95","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_1d.r3","Tissue_stem_cells:bm_msc:bmp2_1d.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260665","GSE10315","human BM MSC BMP2 stimulated day 1 rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"96","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_3d.r1","Tissue_stem_cells:bm_msc:bmp2_3d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260666","GSE10315","human BM MSC BMP2 stimulated day 3 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"97","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_3d.r2","Tissue_stem_cells:bm_msc:bmp2_3d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260667","GSE10315","human BM MSC BMP2 stimulated day 3 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"98","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_3d.r3","Tissue_stem_cells:bm_msc:bmp2_3d.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260668","GSE10315","human BM MSC BMP2 stimulated day 3 rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"99","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_7d.r1","Tissue_stem_cells:bm_msc:bmp2_7d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260669","GSE10315","human BM MSC BMP2 stimulated day 7 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"100","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_7d.r2","Tissue_stem_cells:bm_msc:bmp2_7d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260670","GSE10315","human BM MSC BMP2 stimulated day 7 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"101","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_7d.r3","Tissue_stem_cells:bm_msc:bmp2_7d.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260671","GSE10315","human BM MSC BMP2 stimulated day 7 rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"102","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_21d.r1","Tissue_stem_cells:bm_msc:bmp2_21d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260672","GSE10315","human BM MSC BMP2 stimulated day 21 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
